Mes,NDVI,Precipitaci贸n,Evapotranspiraci贸n,Intercepci贸n,Evapotranspiraci贸n_Potencial,Humedad_Suelo,Recarga
Ene,0.668057,0.0,0.13814536182041384,0.13578574402986868,0.5841680440667745,0.4346849614489416,0.00010300749332801961
Feb,0.594504,0.27129624469539254,0.13737263943250536,0.5262693302381223,0.44645453369992194,0.31387578297347757,0.014731406174467018
Mar,0.637496,0.30815555745690715,0.33527415089666807,0.6886057110347341,0.6436814179331098,0.3854543160760176,0.022326553437468456
Abr,0.651578,0.5250129563511418,0.6213040919017747,0.02035335642008866,0.6074423185853395,0.44469841090009404,0.1181146706314951
May,0.766817,0.8964389464350645,0.6697907360586064,0.052094317121963066,0.45017800092682325,0.8113969569072739,0.7756149964100214
Jun,0.777916,0.4379451822725987,0.7293980812559087,0.7672683171179118,0.5737468985848724,0.8513718963761017,0.096108970510409
Jul,0.744771,0.1595576875496424,0.6257114748862613,0.5784935501485823,0.6050822031087839,0.8105367772482546,0.005936402004312453
Ago,0.762621,0.5861642162990519,0.7687911280890388,1.0,0.6153402340109955,0.7926080408985801,0.07095294425173844
Sep,0.752296,0.5271125811696622,0.8300412409515595,0.8214532907018368,0.6494011797347645,0.8603324049087795,0.13595914528044947
Oct,0.761055,0.608591670197983,0.8660365630466872,0.9599692793940147,0.633048643277778,0.9516703674581588,0.3022410514489666
Nov,0.755928,0.631470216482712,0.6645868280095881,0.9524666626732194,0.500951517420924,0.9547423651024991,0.48439813185754754
Dic,0.740786,0.2937850196129106,0.6422167104306324,0.7095139829977536,0.5174884230412262,0.9433996288713131,0.15332163819852285
Ene,0.678415,0.14437291173321426,0.5768710400922492,0.5681779260176274,0.6820823337460857,0.687743810864351,0.0004601799275618725
Feb,0.621377,0.2743597696331064,0.45046987945934625,0.7144572051483059,0.607806079518546,0.41175873706173866,0.0044004942362042155
Mar,0.65902,0.2483668642577902,0.5294829283396689,0.6426621708553009,0.7669604102667504,0.48308856863974986,0.011972186478573245
Abr,0.618541,0.3618297021532115,0.612139307050815,0.0029084739504251153,0.7472954827378986,0.3503633073969748,0.014308845551289508
May,0.753208,0.5942755840469124,0.8189416617401742,0.04762101953866424,0.674087834613947,0.6442452021670291,0.1352575611831188
Jun,0.770325,0.3022563583131246,0.6140302213915851,0.6574432793031493,0.626055302713203,0.6558877714245015,0.031106558104707586
Jul,0.693461,0.10150737950596297,0.5408513118396674,0.3331097292240182,0.9069592124368906,0.5017911691253505,0.0014210780488887703
Ago,0.697823,0.3978352383153521,0.6534417672332655,0.7937728556128625,0.8342011917079231,0.3824019895018396,0.0034763543685776706
Sep,0.739485,0.3858757594844607,0.6369905664340714,0.7401098661008704,0.7937523140917213,0.375594459258166,0.014478395041477759
Oct,0.723315,0.7072826433277155,0.7992985231663526,0.9803356000487315,0.6715124661474066,0.5937587076211308,0.09185711084327843
Nov,0.775054,0.5436098810974878,0.6645868280095881,0.8443913045868794,0.5455295840801815,0.7616499840805484,0.17929660115224771
Dic,0.74772,0.2702643256793472,0.6271387302624052,0.6035751192029543,0.5953861550486494,0.7954578254508162,0.053394708681669234
Ene,0.681851,0.15701934313239208,0.5054048439549441,0.5020801808973738,0.7443631383563822,0.524094467770571,0.00020539503016355263
Feb,0.747055,0.1328110965646568,0.2885692258663954,0.4774874040017235,0.6477371368797669,0.3082705694680076,0.00044260588310124485
Mar,0.556155,0.24400537680750095,0.39126373296066075,0.5399537454628796,0.903244560593524,0.2188521544176925,0.0010921739086109392
Abr,0.676521,0.34223250758009655,0.5860224787325232,0.023717575306142588,0.7408570230203075,0.28712626041012407,0.01503853434294626
May,0.711746,0.5467263575634137,0.7026075246167955,0.035242982456901883,0.8043434448409672,0.33515945731418856,0.07222718732748312
Jun,0.766458,0.13838835464594482,0.4096885481852752,0.38366934719580426,0.7468228531030787,0.46088729970736514,0.012453031622551338
Jul,0.71818,0.3495156386756533,0.5026220429729418,0.614607219863291,0.8165675547127551,0.36246500596687564,0.009463222553479901
Ago,0.765657,0.25462527141301466,0.4763434585811377,0.5770750082256333,0.8839004136488078,0.31722175868040253,0.009077454626030101
Sep,0.700125,0.28583946149904554,0.42416731830991017,0.5002729723777882,0.8556426803107671,0.2503554813399072,0.008535096021186394
Oct,0.705994,0.4374583002429144,0.5211727883994273,0.8115477183670504,0.7035781453294878,0.33066339587993737,0.01819291602925237
Nov,0.76284,0.4523949688178763,0.570803806292866,0.8821802543710162,0.5567914121681574,0.4663622600611185,0.02668068009433878
Dic,0.747055,0.03683856191170201,0.18291700119233892,0.2538265761601037,0.6875805458552307,0.3560607998762902,0.00015380087317772183
Ene,0.620387,0.0451731398816929,0.04592412528354895,0.2577800310852251,0.7935481724257836,0.1628171025971143,0.0
Feb,0.507693,0.12904290854266395,0.0,0.4191842602616403,0.8551873387653288,0.0,6.409661291764424e-05
Mar,0.550287,0.24541360571272552,0.23846600743349128,0.6646048035383101,1.0,0.005454962000434049,0.001550227040983309
Abr,0.610563,0.44892845391873043,0.4768286803800723,0.0023302054223490187,0.79303317069479,0.059533264911002526,0.017349224127032804
May,0.731242,0.4567556961847105,0.6321784334983853,0.06517554818021791,0.6741698887864407,0.380302278034333,0.05178088443716501
Jun,0.78682,0.3143481602441429,0.5689975765602475,0.6915290012533057,0.7042776875626409,0.4357716247043035,0.012199236933439626
Jul,0.77962,0.3724831547290088,0.6137535602467681,0.8310414418543949,0.7714053168310953,0.4038720085939905,0.013595060365766408
Ago,0.70756,0.2720894917916573,0.5283037035850708,0.7092319240805159,0.8796493084511523,0.3086923334574298,0.002512649222020903
Sep,0.775664,0.4989990115228966,0.691806215806138,0.8580327179083829,0.7266442517192762,0.408838261240904,0.043049649680668156
Oct,0.777277,0.6742311315090078,0.7708917172023838,0.9480063293245491,0.6578614892157231,0.5832362479290794,0.13588004055410954
Nov,0.758855,0.5924451173526135,0.7163941254390613,0.9172013400620026,0.5457003489392664,0.7470251774246794,0.2013928665842779
Dic,0.74521,0.4736457820964577,0.660678639726354,0.8998427507790839,0.5182187719985691,0.8726492732208544,0.22604163927449178
Ene,0.723541,0.17895347429446762,0.5635839357116514,0.5879296898625184,0.6441302229016417,0.7247993206012786,0.011434210621711143
Feb,0.630116,0.08572425799288687,0.33177029477021197,0.4101518059786536,0.6613056826934995,0.37899457503755823,2.0260522594736287e-05
Mar,0.650373,0.6039354018101605,0.7043515494022174,0.8944532174886368,0.7090515732748173,0.4543178150813903,0.04372830399828368
Abr,0.731465,0.40669645696612783,0.6430782025277029,0.024706213948648317,0.6865324918460058,0.5321395974996943,0.062439942791103716
May,0.787559,0.7848783145392841,0.939490207246923,0.04593338293310599,0.6834757468966488,0.820461818457481,0.5333059054248449
Jun,0.798472,0.6248829446476567,0.7485098665634251,0.86528435514942,0.5663145193658856,0.8407056647093232,0.22006613695861849
Jul,0.782104,0.26928532104457836,0.7480938477682468,0.6003214435675259,0.6162870438971746,0.889510821421158,0.03625955036518795
Ago,0.7664,0.3488575949957659,0.7559465492385814,0.8618925004507098,0.7209782217791667,0.7061103759377949,0.01127869625767224
Sep,0.761253,0.5673696355649289,0.770719017236109,0.9125661052979446,0.6260785191265938,0.7367652895714585,0.09153859958475659
Oct,0.74779,0.5596921154522992,0.7864999597292602,0.7955363387786012,0.6159600522799362,0.8740555947473754,0.1772843429247319
Nov,0.762374,0.6039970942981051,0.5780114563872527,0.935511672007179,0.39382742218747047,0.9238810112610567,0.4005220050887751
Dic,0.751187,0.3551050552347646,0.07980938825844487,0.5829630279127496,0.0,1.0,0.30063607880549403
Ene,0.737397,0.3254493334069528,0.7868745124281075,0.6297721622578141,0.6133475889536237,0.9780812005052393,0.23007337994476224
Feb,0.67382,0.09115229969064233,0.5064186453294415,0.41720252652097534,0.6593401263073979,0.5600154847940022,0.0002711620814081747
Mar,0.621457,0.28704900001720474,0.6370263807003118,0.691870846127557,0.9411462978177694,0.38949565962317406,0.001419907019958518
Abr,0.702524,0.6745236379110894,0.7134060017097077,0.043252275035080126,0.5677757227301616,0.5848235859831437,0.15776265347991655
May,0.772208,1.0,0.7894815728288792,0.04476408420849151,0.5239490711391428,0.9650454075391037,1.0
Jun,0.791915,0.42757686957577407,0.684334902615602,0.8020060127425694,0.4917780699695238,0.9388877054289348,0.18739356014338288
Jul,0.758325,0.31449904252487193,0.7488087172341824,0.6577899278893387,0.6236295044907181,0.8882199284717385,0.08985230070417931
Ago,0.749661,0.3472084453524184,0.7633024351147858,0.6255757147474825,0.7013887518773061,0.8301544947108839,0.053720702470635116
Sep,0.748833,0.5300864962684717,0.7595961575911275,0.8920230890703689,0.6218425260149978,0.7786967472291941,0.07879943220940216
Oct,0.755442,0.6155364527152611,0.81679360653839,0.9653384692537839,0.586138680649607,0.9342245961016307,0.2293075700769113
Nov,0.726301,0.6415756746045695,0.8338029574738667,0.9679647395968529,0.5793950921512991,0.9610654951758095,0.34203353582317847
Dic,0.736854,0.13099664877204473,0.6624637708406882,0.4575805902257194,0.5957294152891459,0.8844941662213368,0.04566314515880022
Ene,0.658127,0.09977166607244428,0.49023208248004635,0.4057134365899896,0.7456781468518332,0.5501297186455769,5.326459531280861e-05
Feb,0.588104,0.1904864262939316,0.376087257757572,0.6068858027451188,0.7317948430143393,0.2581362274068702,0.0009416708595529724
Mar,0.612964,0.45992975040108053,0.750658478824438,0.8604601261524206,0.910699899217635,0.2989626501343609,0.005520437029374451
Abr,0.738267,0.5741375929530275,0.9161894061725414,0.04009273479082584,0.7849529678727758,0.5110323109289476,0.06579234030321142
May,0.770527,0.7638212311031145,0.940445099607993,0.04046285211425542,0.7753818086961881,0.6955703784667067,0.3541494574924334
Jun,0.692302,0.3699075462202677,0.8873747632208145,0.6329170019860166,0.7324602631166675,0.8481943592451666,0.16564477171488456
Jul,0.776084,0.31852572750052033,0.6956452707180192,0.6640171301525237,0.6671102315222128,0.7385102259612348,0.0149319534892796
Ago,0.698207,0.11555522763383641,0.4985958973980462,0.3889399741467696,0.7891079519788278,0.5375168762731699,0.0065937625385124295
Sep,0.712482,0.3854733038674124,0.5075240365254452,0.7241441217758339,0.7162846854179841,0.35175650284027443,0.0050966192721982875
Oct,0.785355,0.6066038119368256,0.7657519289916602,0.9997820098672874,0.6886258241751795,0.5364754650534587,0.06909873187727253
Nov,0.773114,0.5020779067196496,0.6886748814334249,0.7617846773743141,0.6097267622613483,0.7011990357245517,0.1593260545963652
Dic,0.746678,0.2811874078597047,0.5220460135565006,0.6412277708953512,0.5856554965419838,0.6404270188045182,0.01847090624258474
Ene,0.710636,0.11975530307583401,0.35970555009714883,0.3497459675587391,0.6474458522776625,0.5179879308506867,0.002446313877324835
Feb,0.634446,0.11907174230852907,0.23736568779754813,0.35077393297548576,0.7133330568495517,0.28817459191047895,0.0010164531114591707
Mar,0.611902,0.20365529505523908,0.37151951134764477,0.5495103252315549,0.9933860379042816,0.1938702167795629,0.0017625535291531356
Abr,0.67348,0.2859325974393914,0.5577096765133851,0.0,0.8544106169497998,0.15862149521570273,0.012533272935794154
May,0.729823,0.2916601920271983,0.5632370851040274,0.05490738240817025,0.8955311599692011,0.1802332886381524,0.005482877998537971
Jun,0.769666,0.46740568266565474,0.44862703468784626,0.8417529381498937,0.6039884444628651,0.2490559143048922,0.027178737641490213
Jul,0.795341,0.75958539173434,0.8047964076178781,0.9217874091237537,0.6982947321623905,0.6033151093889282,0.18717193430782572
Ago,0.746717,0.5058524011483535,0.8911792340389187,0.7211222686484583,0.8808794785178913,0.6483956287847832,0.1123950467473888
Sep,0.776158,0.6320253517206893,0.8233287933006203,0.9090955102366811,0.6734753153797697,0.7604054691831297,0.29422968950632883
Oct,0.782027,0.5916052051326516,1.0,0.8550367064361927,0.8395330252323949,0.8015996109019803,0.18209797788963056
Nov,0.772937,0.6457075539874062,0.6083006235117525,0.836753142162961,0.4504983617307905,0.8666688889463527,0.44176170040013546
Dic,0.769412,0.351573687500677,0.5163820094008387,0.7238875572574972,0.4057005273030033,0.8918512043451163,0.09591409751960402
